"Gene","Name","Resistance","Group","Set","Effect","Effect","Resistance","Profile","PID","Threshold","Coverage","Threshold","Source"
"blaBIC1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaDIM1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES8_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES4_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES3_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES10_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES9_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES7_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES14_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES11_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES12_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES17_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES6_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES13_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES2_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES5_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES15_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGES16_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaGIM1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMI1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMI2_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
